Test Status Code,GET,/posts/1,200,Success,
Test Response Time,DELETE,/posts/1,200,Failure,
Test Number of Posts,GET,/posts,200,Success,"Expected 100 posts, got 100"
Test Response is Array,GET,/posts,200,Success,
Test IDs are Sequential,GET,/posts,200,Success,
Test Response Body Not Empty,GET,/posts,200,Success,
Test Post ID is 1,GET,/posts/1,200,Success,
Test Post ID is Not 1,GET,/posts/1,200,Failure,
Test Title is String,GET,/posts/1,200,Success,
Test Title Contains Provident,GET,/posts/1,200,Success,
Test Body Has At Least Two Lines,GET,/posts/1,200,Success,
Test Successful POST Request,POST,/posts,201,Success,
Test Title Matches Input Value,POST,/posts,201,Success,
Test Response Body Contains Non-Empty Body,POST,/posts,201,Success,
Test Response Body Contains Post ID,POST,/posts,201,Success,
Test Response Body Contains Post Body Property,POST,/posts,201,Success,
Test Response Body Contains Post Title Property,POST,/posts,201,Success,
Test PUT Status Code 200,PUT,/posts/1,200,Success,
Test PUT Successful Request,PUT,/posts/1,200,Success,
Test UserId is String,PUT,/posts/1,200,Success,
Test Response is Not Empty,PUT,/posts/1,200,Success,
Test Body Property Exists,PUT,/posts/1,200,Success,
Test Updated Data in Response,PUT,/posts/1,200,Success,
Test Successful Delete Request,DELETE,/posts/1,200,Success,
Test Response Body is Empty JSON,DELETE,/posts/1,200,Success,
