Test Status Code,GET,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test Response Time,DELETE,https://jsonplaceholder.typicode.com/posts/1,200,Failure,Response time exceeds 300ms
Test Number of Posts,GET,https://jsonplaceholder.typicode.com/posts,200,Success,
Test Response is Array,GET,https://jsonplaceholder.typicode.com/posts,200,Success,
Test IDs are Sequential,GET,https://jsonplaceholder.typicode.com/posts,200,Success,
Test Response Body Not Empty,GET,https://jsonplaceholder.typicode.com/posts,200,Success,
Test Post ID is 1,GET,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test Post ID is Not 1,GET,https://jsonplaceholder.typicode.com/posts/1,200,Failure,Post ID should not match
Test Title is String,GET,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test Title Contains Provident,GET,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test Body Has At Least Two Lines,GET,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test Successful POST Request,POST,https://jsonplaceholder.typicode.com/posts,201,Success,
Test Title Matches Input Value,POST,https://jsonplaceholder.typicode.com/posts,201,Success,
Test Response Body Contains Non-Empty Body,POST,https://jsonplaceholder.typicode.com/posts,201,Success,
Test Response Body Contains Post ID,POST,https://jsonplaceholder.typicode.com/posts,201,Success,
Test Response Body Contains Post Body Property,POST,https://jsonplaceholder.typicode.com/posts,201,Success,
Test Response Body Contains Post Title Property,POST,https://jsonplaceholder.typicode.com/posts,201,Success,
Test PUT Status Code 200,PUT,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test PUT Successful Request,PUT,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test UserId is String,PUT,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test UserId is String,PUT,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test Response is Not Empty,PUT,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test Body Property Exists,PUT,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test Updated Data in Response,PUT,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test Successful Delete Request,DELETE,https://jsonplaceholder.typicode.com/posts/1,200,Success,
Test Response Body is Empty JSON,DELETE,https://jsonplaceholder.typicode.com/posts/1,200,Success,
